jobkey,position,jobtitle,company,location,date,description
04f7e6866f4ecd3c,data analyst,Data Analyst (m/w/d) Analytics & Insights in Köln oder Berlin,UNICEPTA GmbH,Köln,2019-12-23,"  Deine Aufgaben:
 Mit Deiner Arbeit bist Du maßgeblich daran beteiligt unsere Kunden durch analytische Insights bei der effizienten Steuerung Ihrer Kommunikationsaktivitäten zu unterstützen. Zu Deinen Hauptaufgaben zählen:   
Du verantwortest das Setup von projektspezifischen Datenmanagement-Prozessen und die Konzeption von Reportvorlagen  
Du erstellst Daten-Auswertungen in Excel oder vergleichbaren Anwendungen  
Du arbeitest eng mit den Consultants und Data Procurement Managern in Deinem Geschäftsbereich zusammen, indem Du für die Bereitstellung und Aufbereitung spezifischer Datensätze, Auswertungen, Visualisierungen und Reports sorgst  
Du konzipierst Live-Analytics-Anwendungen, betreust dessen Setup und erstellst Digital Dashboards  
Die Erstellung von kundenspezifischen Charts &amp; Präsentationen in PowerPoint oder vergleichbaren Tools gehört ebenso zu Deinen Aufgaben  
Du unterstützt bei der Erstellung kundenspezifischer Charts in verschiedenen Business Intelligence-Lösungen, z.B. Tableau  
Dein Profil:
  Du bringst einen journalistischen, kommunikations- oder sozialwissenschaftlichen Hintergrund sowie erste Berufserfahrung idealerweise in der Medienanalyse, sowie der Auswertung von Daten und Erstellung von Charts &amp; Präsentationen mit  
Dich zeichnet eine hohe Affinität zu Daten aus und Dir macht es Spaß Dich mit komplexeren Datenstrukturen und -logiken zu befassen und Dir diese schnell anzueignen  
Du besitzt ein gutes sprachliches Ausdrucksvermögen und die Fähigkeit komplexe Themen zielgruppengerecht auf den Punkt zu bringen  
Du arbeitest strukturiert und verfügst über analytisches Denkvermögen  
Du bringst sehr gute Englischkenntnisse in Wort und Schrift mit und bist sehr fit in Excel und PowerPoint und hast Freude daran Dich in neue Tools und Technologien einzuarbeiten  
Unser Angebot:
  Auf Dich wartet eine verantwortungsvolle Position mit spannenden und herausfordernden Aufgaben für nationale und internationale Kunden  
Du erhältst wertvolle Einblicke in die Kommunikationsarbeit globaler Unternehmen  
Du arbeitest in einem expandierenden Unternehmen mit internationaler Ausrichtung und einem technologiegetriebenen Umfeld  
Dich erwarten attraktive Entwicklungsmöglichkeiten und weitere Zusatzleistungen wie zum z.B. ein Jobfahrrad, geförderte INTERFIT-Mitgliedschaft, Corporate Benefits und ein Zuschuss zur betrieblichen Altersvorsorge  
  Kontaktdaten:   
UNICEPTA GmbH 
Frau Janina Mair 
Salierring 47-53 
50677 Köln 
Tel.: 0221-99 02 201   
 UNICEPTA GmbH   -  
 vor 6 Monaten   "
aafab2f520523f70,data analyst,Junior Data Analyst / Business Analyst (m/w/d),MDM Münzhandelsgesellschaft mbH & Co. KG Deutsche Münze,Braunschweig,2019-12-23,"      Du hast eine Affinität zu Daten und Analysen, Auswertungen erstellst Du im Schlaf? Wir bieten spannende Aufgaben, umwerfende Projekte und digitale Events. Entwickle zusammen mit dem Team unsere BI Landschaft weiter und trage somit maßgeblich zum Unternehmenserfolg bei.  
  
  
Das klingt für Dich interessant? Dann bist Du bei uns genau richtig!   
        Deine Aufgaben:    
   Analysieren und Aufbereiten von Daten 
 Begleitung von spannenden und wegweisenden Projekten im Cloud Umfeld 
 
 Unterstützung und Umsetzung von Data Science Projekten 
 
  Adhoc Analysen 
 
  Optimierung, Weiterentwicklung und Wartung des Data Warehouse 
 
  Unterstützung bei der fachlichen und technischen Umsetzung von Datenmodellen, -strukturen und ETL Prozessen 
 
  Kompetenter Ansprechpartner*in bei Anfragen der Fachabteilungen 
 
          Dein Profil:    
   Abgeschlossenes Studium der Informatik, Wirtschaftsinformatik oder eine vergleichbare Qualifikation 
 Erste Berufserfahrungen oder Praktika im Bereich Data Warehouse oder BI 
 Kommunikationsstärke, Teamfähigkeit und eine hohe Eigenmotivation 
 Selbständige und strukturierte Arbeitsweise sowie ein ausgeprägtes unternehmerisches und analytisches Denken und Handeln 
 Erste Erfahrungen im SAP BW Umfeld von Vorteil 
 Sehr gute Deutsch- und Englisch-Kenntnisse sowie gute MS-Office Kenntnisse 
  
        Das erwartet Dich:    
   Herausfordernde und vielfältige Aufgaben in einem motivierten Team inkl. einer ausführlichen Einarbeitung 
 Eine attraktive Vergütung sowie eine durch den Arbeitgeber finanzierte betriebliche Altersversorgung 
 Flexible Arbeitszeiten, Weiterbildungsmöglichkeiten und kurze Entscheidungswege 
 Weitere Benefits wie z.B. Mitarbeiterveranstaltungen, ein tolles Betriebsrestaurant und kostenfreien Kaffee       
 MDM Münzhandelsgesellschaft mbH &amp; Co. KG Deutsche Münze   -  
 vor 6 Monaten   "
254cdf3d4ff122da,data analyst,(Senior) Data Analyst (f/m/d),Delivery Hero SE,Berlin,2019-12-23,"   Want to be a Hero? Join the #1 GLOBAL LEADER in Online Food Delivery!    (Senior) Data Analyst (f/m/d)  Berlin, Germany  We are looking for a (Senior) Data Analyst to join the Product Business Intelligence team at our incredible Hero Hub in the heart of Berlin.   Your mission:     Engage with local and global teams to understand the business vision, requirements &amp; priorities and help to translate this into actionable insights  Develop accessible, creative and engaging data visualization to facilitate access to insight  Refine, challenge and support requests from stakeholders and create new data analyses based on commonly defined specifications  Analyze trends in our data and providing insight and explanation to our local teams to improve their operations using data  Help identify, define and specify future insight and data needs to support the different business units  Improve existing procedures; identify the needs for new procedures; train and advocate the team on quality improvements  Collaborate with other data analysts, data engineers and product owners    Your heroic skills:     2-6 years experience as a BI/Data Analyst working for internet companies  You have at least a Bachelor's degree in a quantitative subject, e.g. computer science, physics, mathematics, engineering  You are proficient in SQL  Practical experience with big data tools (e.g Redshift, BigQuery)  Experience with version control systems (VCS) (e.g. Github)  You are creative in data visualization (Tableau experience is a plus)  Highly passionate about data, with creative problem-solving abilities and an eye for detail  Independent and rigorous working style  You are a team player and love to think outside the box  Fluent in English    Nice to have:     Strong business understanding in e-commerce or related industries  Experience in dealing with stakeholders and challenging the scope of projects (or proven records)  Proven records in adopting and improving team standards and processes  Experience with other languages and tools for data manipulation, analysis and plotting (R, Pandas, Malplotlib, Numpy…)    Why Delivery Hero?    Join the global market leader and a publicly listed company with competitive remuneration package and a lot of training, career &amp; development opportunities.  English is our working language and our colleagues at Delivery Hero come from every corner of the globe, working in diverse, cross-cultural team. For most opportunities we also offer visa &amp; relocation support.  Enjoy massages, get your haircut in the office, join our free yoga classes or take a timeout in our nap room. We are also working with local partners to offer childcare placements.  Flexible working hours with the option of remote working.  Develop your skills with your personal educational budget for conferences and external trainings.  Learn German with free classes, access our e-learning platform and participate in our inhouse trainings.  Save responsibly with our attractive corporate pension options.  Join company parties, team, cultural and sports events.  Daily fruits, cereals, beverages, tea and coffee in our lounges.    About us:     Delivery Hero  is building the next generation global on-demand delivery platform. We have grown rapidly from inception in 2011 to become the world's largest food-ordering network and we’re now innovating and creating new verticals such as groceries, pharmacies, flowers and other convenience articles in multiple markets.  Our awesome international team already operates in 40+ countries worldwide and we are exclusively looking for the best people to join us on our mission to ‘always deliver an amazing experience.’ If you’re an enthusiastic problem solver and hungry for a new adventure, an exciting job and multicultural workplace is waiting for you in the heart of Berlin!   At Delivery Hero, we believe diversity and representation is key to creating not only an exciting product, but also an amazing customer and employee experience. Fostering this starts with hiring -- therefore we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, or any other aspect that makes you, you.    Have we caught your attention?  If you are looking for an environment where our company DNA is defined by our values, please send us your CV.   We’re looking forward to your application!   Art der Stelle: Vollzeit, Festanstellung  
 vor 30+ Tagen  "
8662988dc325787b,data analyst,Data Analyst CRM (m/w/d),Peek&Cloppenburg KG,Hamburg,2019-12-23,"           Für unsere Zentrale in Hamburg suchen wir ab sofort einen 
  Data Analyst CRM (m/w/d)  
 In Vollzeit. 
  Sie identifizieren datenbasierte Trends im Kunden- und Käuferverhalten für unsere Standorte im In- und Ausland und bilden eine wichtige Schnittstelle zwischen Marketing- und IT-Abteilung.  
    Ihre Aufgaben  
  Erstellung von Wirtschaftlichkeits-, Ad-hoc und KPI-Analysen 
 Anfertigung regelmäßiger Reports mit SQL, R, PowerBI oder MS-Excel 
 Aktives Mitwirken an der Weiterentwicklung der Systemlandschaft im CRM Bereich 
 Übernahme der Funktion als Schnittstelle zwischen dem IT-Data Warehouse Team und dem CRM Bereich 
 Unterstützung des Teams bei der Planung, Umsetzung sowie dem Controlling von geeigneten Direktmarketingmaßnahmen 
 Aktives Mitwirken beim technischen Aktions- und Kampagnenmanagement (Zielgruppen-Targeting) 
 Übernahme der Projektleitung für komplexe Aufgabenstellungen im Datenanalysebereich 
 Teilhabe an bereichsübergreifenden Projekten wie beispielsweise mit dem IT-Bereich  
  
    Ihr Profil  
  Abgeschlossenes Studium mit einem statistischen oder mathematischen Schwerpunkt 
 Sicherheit in der fachlichen Kommunikation mit dem IT-Bereich 
 Erfahrungen im Bereich Datenanalyse 
 Pragmatische und strategische Arbeitsweise 
 Kundenorientierte Denkweise 
 Fähigkeit, in einer Fülle von Informationen das Wesentliche zu erkennen 
 Sicherer Umgang in der Arbeit mit großen Datenmengen 
 Fundierte Kenntnisse in MS-Office, SQL und R 
 Erste Erfahrungen im Umgang mit Microsoft Power BI sind wünschenswert 
  Wir freuen uns über Ihre vollständige Onlinebewerbung unter Angabe des nächstmöglichen Eintrittstermins und der Referenznummer 2794. Folgen Sie dem Bewerbungs-Button auf unserer Internetseite und laden Sie Ihre Unterlagen in einer PDF-Datei hoch.
  mit Standorten in Hamburg, Norderstedt, Kiel, Flensburg, Lübeck, Bremen, Lüneburg, Hannover, Braunschweig, Kassel, Bielefeld, Paderborn, Osnabrück, Münster, Stralsund, Dresden, Chemnitz, Rostock und mit VAN GRAAF Standorten in Österreich, Ungarn, Tschechien, Polen, Lettland und der Schweiz.              
 Peek&amp;Cloppenburg KG   -  
 vor 30+ Tagen   "
e63c1ce04889bdda,data analyst,Data Scientist* / Data Analyst* im Bereich Stadtforschung,Stadtverwaltung Wolfsburg,Wolfsburg,2019-12-23,"   Stadt Wolfsburg   
  Werden Sie Teil der Erfolgsgeschichte Wolfsburgs!  
In ihrer jungen Geschichte hat sich Wolfsburg zu einer lebenswerten, weltoffenen und erfolgreichen Großstadt entwickelt. Als eine der wirtschaftlich stärksten Städte Deutschlands mit Hauptsitz eines Weltkonzerns verfügt sie über eine hervorragende Infrastruktur. Die digitale Transformation bildet ein Kernthema der Stadtentwicklungsstrategie Wolfsburgs. Aufgabe des direkt dem Oberbürgermeister zugeordneten  Referats Strategische Planung, Stadtentwicklung, Statistik  ist es, den dynamischen Entwicklungsprozess in all seinen Facetten zu analysieren, Entwicklungstrends zu erkennen und Lösungsansätze für die Zukunft zu entwickeln. Daher wird es immer bedeutender, den steigenden Informationsansprüchen von Verwaltung, Politik und Öffentlichkeit durch Verbesserung der Datenverfügbarkeit und der Entwicklung von Informations- und Monitoringsystemen gerecht zu werden. Mit Entwicklungsbeobachtung und Strukturanalyse unterstützen Statistik und Stadtforschung nicht nur das politische und planerische Verständnis der vorherrschenden Verhältnisse, sie liefern auch Grundlagen für den Blick in die Zukunft. Damit soll die strategische und operative Planung in städtischen Handlungsfeldern wie Soziales, Wohnen, Bildung, Verkehr und Umwelt effektiv unterstützt werden. Für unsere Statistikstelle im Referat suchen wir zum nächstmöglichen Termin eine*n 
  Data Scientist* / Data Analyst*  
  im Bereich Stadtforschung  
 Geoinformatik | Informatik | Raumwissenschaften
     Ihre Aufgaben:  
  Fortführung und Weiterentwicklung des bestehenden Data Warehouse 
 Fortführung und inhaltliche Optimierung der ETL-Prozesse 
 Inhaltliche Entwicklung themenbezogener räumlicher Monitorings sowie frühzeitige Erkennung von Trends
  Wissenschaftlich fundierte Auseinandersetzung mit den jeweiligen Dateninhalten bzw. den Handlungsfeldern und -konzepten der Fachplanungen der Stadt Wolfsburg 
 Austausch mit allen Ebenen der Stadtverwaltung und Bindeglied zwischen den Fachplanungen und der Statistikstelle 
 Wissenschaftliche Konzeptionierung, Begleitung und Umsetzung intern und extern vergebener Stadtforschungsprojekte 
 Entwicklung von Anpassungsstrategien im Rahmen des digitalen Wandels 
     Ihre Qualifikationen:  
  Vorausgesetzt wird  
  Abgeschlossenes Hochschulstudium (Master oder Diplom) in einer der Fachrichtungen Informatik, Geoinformatik, Raumwissenschaften oder einer Fachrichtung mit vergleichbaren Schwerpunkten 
 Umfassende und tiefgehende Kenntnisse im Umgang mit relationalen Datenbanken 
 Sicheres Beherrschen der Datenbanksprache SQL sowie einer weiteren Programmiersprache (vorzugsweise Python)
    Hierüber sollten Sie verfügen  
  Methodische Kenntnisse im Bereich der kommunalen Stadtforschung 
 Praxiserfahrungen bei Aufbau, Pflege und Fortführung ausgewählter wissenschaftlicher Kennzahlen im Rahmen eines räumlichen Monitorings 
 Umfassende (theoretische) Kenntnisse von Data Warehouse- bzw. Business-Intelligence- Konzepten 
 Praxiserfahrungen in der Datenbankentwicklung und Datenmodellierung 
 Kenntnisse in DUVA (datenbankgestütztes Informationssystem der Städtestatistik) sind wünschenswert
  Kenntnisse in Datenschutzbestimmungen 
 Sicherer Umgang mit Office-Produkten 
 Ausgeprägtes analytisches und konzeptionelles Denkvermögen 
 Selbstständiges, eigenverantwortliches und kreatives Arbeiten 
 Hohe Leistungsbereitschaft, Eigeninitiative und Teamfähigkeit 
 Fähigkeit zur ergebnisorientierten und interdisziplinären Arbeit 
 Sicheres Auftreten sowie ausgeprägte Kommunikations- und Kooperationsfähigkeit 
      Wir bieten Ihnen:  
  Abwechslungsreiche Aufgaben und großen Gestaltungsspielraum 
 Eine eigenverantwortliche Position im Team „Stadtforschung und Statistik“
  Vollzeitstelle der Entgeltgruppe 12 TVöD; eine Neubewertung nach E 13 TVöD wird aktuell 
geprüft 
 Vertrauensarbeitszeit für einen optimalen Ausgleich von Job, Familie und Freizeit 
 Umfangreiches Qualifizierungsangebot, individuelle Aufstiegs- und Förderprogramme 
 Vielseitige Austausch- und Vernetzungsmöglichkeiten 
 Mehrfach ausgezeichnetes Betriebliches Gesundheitsmanagement 
      Die Stelle ist teilbar. Eine Flexibilität hinsichtlich der Arbeitszeiten wird erwartet. Bei sonst gleicher 
Eignung berücksichtigen wir schwerbehinderte und Schwerbehinderten gleichgestellte Bewerber* 
innen bevorzugt. 
 Ihre Unterlagen schicken Sie bitte bis zum 12.01.2020 ausschließlich per E-Mail als gebundenes 
PDF-Dokument an: bewerbung(at)stadt.wolfsburg.de
 
 
Wir freuen uns darauf, Sie kennenzulernen! 
    Stadt Wolfsburg
  
 Geschäftsbereich Personal
  
 Postfach 10 09 44
  
 38409 Wolfsburg
  
 bewerbung(at)stadt.wolfsburg.de 
  Ihr Ansprechpartner: 
Herr Dr. Meer, stellv. Referatsleiter,
 
Tel.: 05361 28-2161 
E-Mail: uwe.meer(at)stadt.wolfsburg.de       
 Stadtverwaltung Wolfsburg   -  
 vor 17 Tagen   "
c3b7d6b24fe87389,data analyst,Data Analyst (m/w/d),auticon GmbH,Berlin,2019-12-23,"          Data Analyst (m/w/d) im Autismus-Spektrum  
 
        Voll-/Teilzeit  
  Berlin, Hamburg, Düsseldorf, Frankfurt, Stuttgart und München  
                Besonders bei auticon:  
 
Möchten Sie für ein erfolgreiches und wachsendes IT-Dienstleistungsunternehmen in den Themenbereichen Softwareentwicklung &amp; Migration, Analytik, Qualitätsmanagement &amp; Testing und Compliance &amp; Reporting arbeiten? 
 
Wir sind anders als klassische Beratungsunternehmen. Wir sind das erste IT-Dienstleistungsunternehmen in Deutschland, das ausschließlich Autisten als IT-Mitarbeiter einsetzt. Wir vertrauen den logischen und analytischen Stärken von unseren autistischen Mitarbeitern und suchen weitere leidenschaftliche, qualitätsorientierte und IT-affine Mitarbeiter.  
  
  
Wir suchen:  
  
Datenanalyst (m/w/d)   
  
Warum es sich lohnt zu auticon zu wechseln – Unser Angebot:  
 
 Wir bieten eine autismusfreundliche Arbeitskultur, ein wertschätzendes Umfeld mit flachen Hierarchien und flexible Arbeitszeitenmodelle nach Absprache 
 Sie arbeiten an vielfältigen IT-Projekten bei unseren namhaften Kunden 
 Ein Job Coach bietet Ihnen Unterstützung in Fragen der Kommunikation, im Umgang mit Behörden und arbeitsalltagspraktischen Fragen, damit Sie sich voll auf Ihre Kernaufgaben konzentrieren können 
 Ein Projektmanager bietet Ihnen Unterstützung in der fachlichen Kommunikation mit dem Kunden und bei der organisatorischen und zeitlichen Strukturierung Ihrer Projekte und Aufgaben 
 Wir ermöglichen Ihnen fachliche Weiterentwicklung durch die mit Ihnen abgesprochene Durchführung von individuell geeigneten Maßnahmen  
   
  
Sie übernehmen folgende Tätigkeiten:  
 
auticon bietet seinen Kunden für die Lösung individueller IT Fragestellungen kompetente Unterstützung an. 
Wir bekommen Anfragen zu Projekten aus verschiedensten Branchen (Automotive, Banken und Versicherungen, FinTech, etc.) mit unterschiedlichen fachlichen Anforderungen. Aufgaben umfassen zum Beispiel: 
 
 Identifikation von Abweichungen, Erkennen von Mustern in großen strukturierten und unstrukturierten Datenmengen 
 Optimierung bereits bestehender und Schaffung neuer Auswertungen und Reports in Tabellen-, Text- und Grafikform 
 Analyse von Bilddaten, Zeitreihen, Controllingdaten etc. 
 Zusammenführung und Auswertung von Daten aus unterschiedlichen Quellen unter Einsatz von Techniken wie Excel, Access, SQL, TensorFlow, PowerBI, QlikView, Tableau  
   
 
Sie übernehmen Aufgaben und Teilbereiche innerhalb eines Projekts entsprechend ihrer fachlichen Voraussetzungen und Kenntnisse in enger Zusammenarbeit mit unseren Projektmanagern und Teamleitern. Die angeleitete projektspezifische Einarbeitung in neue Tools und Fachgebiete ist Teil Ihres Aufgabenspektrums.  
  
  
Ihr Profil:  
 
 Sie sind leidenschaftlicher Datenanalyst und haben schon persönliche oder fachliche Erfahrung erworben 
 Die Qualität Ihrer Arbeit hat für Sie eine hohe Priorität und Sie suchen ein berufliches Umfeld, in dem diese Qualitäten große Wertschätzung erfahren 
 Sie bringen tiefergehende Kenntnisse und praktische Erfahrungen in der Anwendungsentwicklung mit verschiedenen Programmiersprachen, Entwicklungsumgebungen, Frameworks und Datenbanken mit 
 Der Umgang mit Tools zur Versionsverwaltung und Ticketsystemen ist Ihnen vertraut 
 Erfahrung in der Zusammenarbeit mit Teams sind vorhanden  
   
  
So kommen Sie mit uns in Kontakt:  
 
Wir freuen uns auf Ihre Unterlagen, entweder per E-Mail an: oder bewerben Sie sich über unser Online Formular. Wir benötigen lediglich Ihren tabellarischen Lebenslauf und die Angabe der Refernznummer HP_2019DA10. Wir werden dann Kontakt zu Ihnen aufnehmen und Ihnen einen Fragebogen zusenden, in dem Sie uns einen kurzen Überblick über Ihre Kenntnisse und Interessen geben können. 
 
auticon verbindet unternehmerische und soziale Ambitionen und ist damit ein einzigartiges Beratungsunternehmen. Nach einem erfolgreichen Start in Deutschland ist auticon nun auch in England, Frankreich, Italien, Schweiz, USA und Kanada aktiv und baut weitere Standorte weltweit auf. Wir sind stolz auf unser Team mit über 200 Mitarbeitern und gespannt auf neue Kollegen, die bereit sind, unsere besondere Reise zu begleiten. 
   Oder bewerben Sie sich über unser Online Formular 
             Haben Sie noch Fragen? Sprechen Sie mich gerne an! 
 
Ramona Öller 
+49 89 2006068 – 23         
 auticon GmbH   -  
 vor 8 Monaten   "
dc74b3b494532098,data analyst,Data Analyst,sennder,Berlin,2019-12-23," If you aren't completely confident that you fit our exact criteria, please reach out anyways. Humility is a wonderful thing - we're at least as interested in your character as in your talent.
  
Our fast-growing technology startup sennder is revolutionizing road freight logistics by making it simpler, quicker, and more cost-efficient to move Full Truck Loads across Europe. Shippers get real-time GPS tracking on all shipments, and business analytics to improve their supply chain. You can learn more about us here ( https://techcrunch.com/2019/07/22/sennder-raises-70m-on-300m-valuation-to-take-on-the-freight-forwarding-industry/ ).
  
The Data Analyst is here to take ownership of the maintenance and development of internal Business Intelligence tools. The role is based in our Berlin HQ office.
  
 Your challenge will be:  
 
 Support stakeholders' decision-making with crucial analyses and data-insights 
 Provide input and ideas to continuously advance Business Intelligence at sennder 
 Help with the creation of descriptive and predictive analytics 
 Identify and collect new data to drive novel insights into sennder's operations 
 Work closely with management, engineering and operations to develop and improve our analytics 
 
 To get there you will need:  
 
 Substantial experience with Power BI and SQL 
 Passion for data 
 Strong analytical and result-oriented mindset 
 Proven experience with Python or further programming languages 
 Excellent English skills 
 
 What we will be offering:  
 
 Competitive Salary 
 Flexible working hours 
 International teams 
 Career opportunities 
 Free gym access in our HQ Berlin 
 
At sennder we value commitment, team spirit, and your personal and professional development. Our mission is to offer our teams a diverse work environment by fostering a very friendly atmosphere and an energetic company culture. We enjoy to build and nourish long-lasting friendships across teams and often come together to plan fun events and activities. 
 sennder   -  
 vor 14 Tagen   "
90ada78305a29532,data analyst,Data Analyst (m/f/d),Bonial International Gmbh,Berlin,2019-12-23,"  Job Description 
 
Our Head of Data says: “Data is one of the hubs between Online Marketing, Product, IT and Sales here at Bonial.com. New questions are raised every day that cover all facets of business intelligence, such as developing a prediction model for user retention, defining KPIs and events for an A/B test, integrating a new data source in our enterprise data architecture or supporting critical business decisions by translating business problems into quantitative terms.”  
Our mission is to transform data into knowledge to enable people to make smart decisions. As the data team, we want Bonial to be more data-driven. Therefore, our role is to transform the decision-making process from gut feeling to a more scientific approach. We support all departments to help them deliver the most value. As part of the data team, you can influence projects with the results of your analysis. We offer you strong learning curve, responsibility for projects and room for your own ideas to bring the data team to the next level.  
As our new Data Analyst, you will join our data team and report to the team lead. You will create, evaluate, visualize and automate reports based on the requirements of internal stakeholders, like Online Marketing, Sales and Product, as well as maintain and modify them based on changing business requirements.  
You will also...   
Perform deep-dives on data, give meaning to data, investigate business questions with timely and insightful analysis, identify opportunities and issues, and present findings to stakeholders.  
Develop metrics/KPIs, reports, dashboards to enable departments to make business-critical decisions based on data.  
Make business recommendations to influence our data strategy  
Filter, organize and clean large datasets prior to analysis.  
Gather know-how on tools and best practices on data world on a daily basis.   
 
 Qualifications 
 
You hold a degree in business, economics, mathematics, statistics or equivalent (technical) field and you have a ‘can-do’ attitude with a passion for analytics and data and bring with you a couple of years of hands-on experience.  
What you’ll bring to the table...   
A strong ability to understand and incorporate the big picture into the details of an analysis.  
Well structured, analytical thinking and ability to explain and visualize complex analysis in a clear understandable manner to a non-technical audience.  
Entrepreneurial mindset so you are keen on making recommendations that will positively impact Bonial · At least 2+ years of experience in data field.  
The ability to understand &amp; write complex SQL statements and preferably a programming language, e.g. Python, R, etc.  
Experience with data visualization tools, e.g. Excel, Power BI, Tableau, etc., is a plus  
Having experience with big data tools is a plus.  
Experience with online advertising is a plus   
You can communicate fluently in English with all other languages being very much a bonus.  
Additional Information 
 
Once you are part of Bonial, we offer you great opportunities to grow. We have a clear  career path , depending on your personal goals. In order to reach these goals, you have  feedback talks  with your team lead on a regular basis. Additionally, you can enjoy the view of on our roof terrace during our  monthly meetups  and regular  team- and company events . 
 
 More (fun)facts:    
An international team with flat hierarchies, a lot of personal responsibility and career opportunities  
Budget for your personal development from seminars to workshops and more…  
Home office and flexible working hours  
A modern, air-conditioned office with roof terrace, barbecue and view of the greenery  
Your own gym directly in the office and a subsidy for your Urban Sports membership  
A room for children and families, if you Kita bails on you or is closed  
Weekly networking events    
 Bonial International Gmbh   -  
 vor 4 Tagen   "
a619c7447d7b514d,data analyst,Data Analyst,Moonfare,Berlin,2019-12-23," Private equity is at the forefront of modernisation – it provides the fuel to help the next generation of technology grow, from developing robotic warehouses, pioneering clean technology, to commercialising virtual reality. The investment experience and process for private equity funds is another story as it remains overly opaque, expensive, and time-consuming. Individual investors are also limited given allocation to the best-performing funds is typically reserved for large institutions.
  
Moonfare is on a mission to change this and open these markets to enable individuals to invest in top-tier private equity funds through a robust technology platform. Our team collectively brings decades of experience from leading investment institutions and successful technology companies. We are quickly growing while staying true and united by our core values:
  
We think and act like owners
  
We build a business by building people
  
Everything that matters, we do 100%
  
We champion transparency and integrity
  
These will be your tasks
  
Your mission
  
Using your experience, dedication and breadth help Moonfare in achieving its mission towards democratizing premium alternative investing.
  
Generate insights and recommendations with a focus on performance marketing channels and audience performance
  
Turn insights into concrete actions to drive acquisitions quality and investment frequency
  
Work across all performance marketing departments and senior stakeholders to understand the business vision, requirements &amp; priorities and translate them into actionable insights
  
Consult and educate marketing teams in set up and interpretation of a/b tests
  
Identify new opportunities and advocate your ideas
  
Drive insights automation processes
  
Development of uplift models that measure and improve the success rate of marketing initiatives
  
Be the analytics point person who supports marketing stakeholders in their day-to-day work
  
You're offering these qualifications
  
What you bring
  
At least 3 years of experience in an analytical role
  
Good knowledge of marketing metrics for SEM, SEO, onsite, email, display and other performance marketing channels as well as conversion optimization, attribution and user segmentation
  
Able to convert complex business questions into concrete requirements, relevant metrics and actionable insights to give clear recommendations
  
Strong skills in data retrieval (e.g. SQL, R or Python) and a good grasp of statistics
  
Fluent in English and ideally also speak German
  
Good experience with data aggregators and data visualization tools: Tableau, Sisense, Looker
  
Strong understanding of KPIs
  
Hands on mentality, takes ownership and rolls up own sleeves
  
Full business proficiency &amp; excellent communication skills in English – German a plus
  
Experience with HNWI, luxury, or similar audience
  
We're offering these benefits
  
Why you should apply
  
Opportunity to make an active contribution to the growth story of one of the leading disrupters in the Fintech industry
  
Open and regular communication about our direction and progress - we’re all in this together
  
Competitive remuneration package with equity on offer
  
We want you to never stop innovating so we invest in your learning and career development with
  
Weekly team teach-ins
  
Extra-curricular development
  
Mentorship from a team of experienced entrepreneurs and professionals
  
Relaxed dress code so you can feel in your element
  
Access to a well-established network in Berlin, Munich and London’s start-up &amp; business scenes
  
Beautiful office in the heart of Berlin (Alexanderplatz)
  
Choose your own equipment
  
Bi-weekly social events, meetups and, of course, snacks and free cold beer in the fridge 
 Moonfare   -  
 vor 7 Tagen   "
75561473ee932d5b,data analyst,Praktikant (m/w/d) Data Analyst | Intern Data Analyst (f/m/d),Factory Market Retail GmbH,Berlin,2019-12-23," Factorymarket is a fast-growing, globally operating tech company in the retail sector, with a headquartered in Berlin. Our main focus is on the operation and omnichannel marketing of online marketplaces (including appropriate software development) and retail stores. With our highly developed, highly scalable technology platform, very good financing as well as experienced founders &amp; business leaders, we are pioneers in the New Retail industry and strive to revolutionise the retail business of the day after tomorrow! Our international team is based both in our headquarters in Berlin and our branch in Moscow.
  
For our Data-Team located in our Berlin Head-Quarter we are looking asap for a
  
Praktikant (m/w) Data Analyst| Intern (f/m) Data Analyst
  
These will be your tasks
  
 
 Creating top-level and ad-hoc reports &amp; dashboards based on cross-functional business demands 
 Continuous data integrity and quality checks, and data cleansing of internal databases 
 Support of analytics team (and other departments) with business-centerd and actionable insights 
 Support of creating and maintaining of ETL pipelines 
 
You're offering these qualifications
  
 
 Currently enrolled in a quantitive degree in Business Informatics,Computer Science, Engineering, Economics, Mathematics (or self-taught) 
 Basic experience with statistics, data analysis &amp; data visualization (fundamental knowledge of database query languages and programming languages) 
 Very structured and analytical approach with the ability to zoom in and out and aim for practical solutions 
 Fluent in spoken German and English 
 
We're offering these benefits
  
 
 A light-filled and representative office above the rooftops of Berlin, with a direct view of Potsdamer Platz 
 A south-facing terrace for chilling and barbecuing 
 Free fruit, cereals, drinks and sandwiches 
 Regular team events as an important part of our corporate culture 
 Optimum development opportunities - Further education is encouraged 
 A motivated, international and dynamic team with flat hierarchies 
 
We´re looking forward to receive your application! 
 Factory Market Retail GmbH   -  
 vor 13 Tagen   "
